condition,axis,mag,protocol,nds,map6,rrs
CR,yaw,-4,all,0.5432,0.4931,0.9794
CR,yaw,4,CAM_FRONT_RIGHT,0.5539,0.5124,0.9987
CR,yaw,4,CAM_BACK,0.5526,0.5067,0.9963
CR,yaw,4,CAM_BACK_RIGHT,0.5560,0.5120,1.0024
CR,yaw,8,CAM_FRONT,0.5497,0.5066,0.9911
CR,yaw,8,CAM_FRONT_LEFT,0.5529,0.5119,0.9968
CR,yaw,8,CAM_BACK_LEFT,0.5486,0.4988,0.9890
CR,yaw,8,all,0.5392,0.4839,0.9722
CR,yaw,12,CAM_FRONT_RIGHT,0.5543,0.5118,0.9993
CR,yaw,12,CAM_BACK,0.5446,0.4956,0.9820
CR,yaw,12,CAM_BACK_RIGHT,0.5598,0.5152,1.0092
CR,yaw,16,CAM_FRONT,0.5490,0.5077,0.9898
CR,yaw,16,CAM_FRONT_LEFT,0.5512,0.5097,0.9939
CR,yaw,16,CAM_BACK_LEFT,0.5405,0.4858,0.9745
CR,yaw,16,all,0.5324,0.4786,0.9599
CR,yaw,20,CAM_FRONT_RIGHT,0.5546,0.5116,0.9999
CR,yaw,20,CAM_BACK,0.5358,0.4797,0.9659
CR,yaw,20,CAM_BACK_RIGHT,0.5598,0.5158,1.0093
CR,pitch,-20,CAM_FRONT,0.4836,0.3852,0.8719
CR,pitch,-20,CAM_FRONT_LEFT,0.5192,0.4521,0.9361
CR,pitch,-20,CAM_BACK_LEFT,0.5053,0.4163,0.9111
CR,pitch,-20,all,0.0511,0.0056,0.0921
CR,pitch,-16,CAM_FRONT_RIGHT,0.5357,0.4768,0.9659
CR,pitch,-16,CAM_BACK,0.4578,0.3459,0.8254
CR,pitch,-16,CAM_BACK_RIGHT,0.5328,0.4663,0.9606
CR,pitch,-12,CAM_FRONT,0.4822,0.3816,0.8693
CR,pitch,-12,CAM_FRONT_LEFT,0.5140,0.4427,0.9267
CR,pitch,-12,CAM_BACK_LEFT,0.5001,0.4128,0.9017
CR,pitch,-12,all,0.0579,0.0213,0.1045
CR,pitch,-8,CAM_FRONT_RIGHT,0.5314,0.4690,0.9580
CR,pitch,-8,CAM_BACK,0.4429,0.3259,0.7984
CR,pitch,-8,CAM_BACK_RIGHT,0.5396,0.4785,0.9729
CR,pitch,-4,CAM_FRONT,0.4658,0.3541,0.8398
CR,pitch,-4,CAM_FRONT_LEFT,0.5097,0.4348,0.9190
CR,pitch,-4,CAM_BACK_LEFT,0.5065,0.4228,0.9132
CR,pitch,-4,all,0.2336,0.0497,0.4211
CR,pitch,4,CAM_FRONT_RIGHT,0.5415,0.4898,0.9763
CR,pitch,4,CAM_BACK,0.4566,0.3630,0.8232
CR,pitch,4,CAM_BACK_RIGHT,0.5389,0.4873,0.9716
CR,pitch,8,CAM_FRONT,0.4800,0.3777,0.8655
CR,pitch,8,CAM_FRONT_LEFT,0.5160,0.4493,0.9303
CR,pitch,8,CAM_BACK_LEFT,0.5032,0.4275,0.9072
CR,pitch,8,all,0.1371,0.0214,0.2472
CR,pitch,12,CAM_FRONT_RIGHT,0.5384,0.4827,0.9706
CR,pitch,12,CAM_BACK,0.4560,0.3515,0.8222
CR,pitch,12,CAM_BACK_RIGHT,0.5370,0.4785,0.9682
CR,pitch,16,CAM_FRONT,0.4835,0.3850,0.8717
CR,pitch,16,CAM_FRONT_LEFT,0.5176,0.4514,0.9332
CR,pitch,16,CAM_BACK_LEFT,0.5055,0.4243,0.9114
CR,pitch,16,all,0.0341,0.0080,0.0615
CR,pitch,20,CAM_FRONT_RIGHT,0.5373,0.4809,0.9687
CR,pitch,20,CAM_BACK,0.4530,0.3519,0.8167
CR,pitch,20,CAM_BACK_RIGHT,0.5299,0.4611,0.9553
CR,roll,-20,CAM_FRONT,0.4774,0.3784,0.8608
CR,roll,-20,CAM_FRONT_LEFT,0.5153,0.4531,0.9291
CR,roll,-20,CAM_BACK_LEFT,0.5110,0.4345,0.9212
CR,roll,-20,all,0.2144,0.0303,0.3865
CR,roll,-16,CAM_FRONT_RIGHT,0.5402,0.4880,0.9739
CR,roll,-16,CAM_BACK,0.4483,0.3403,0.8083
CR,roll,-16,CAM_BACK_RIGHT,0.5438,0.4858,0.9805
CR,roll,-12,CAM_FRONT,0.4729,0.3691,0.8525
CR,roll,-12,CAM_FRONT_LEFT,0.5179,0.4561,0.9337
CR,roll,-12,CAM_BACK_LEFT,0.5192,0.4472,0.9361
CR,roll,-12,all,0.2640,0.0703,0.4759
CR,roll,-8,CAM_FRONT_RIGHT,0.5429,0.4927,0.9789
CR,roll,-8,CAM_BACK,0.4581,0.3531,0.8260
CR,roll,-8,CAM_BACK_RIGHT,0.5517,0.5004,0.9947
CR,roll,-4,CAM_FRONT,0.5037,0.4293,0.9081
CR,roll,-4,CAM_FRONT_LEFT,0.5302,0.4740,0.9559
CR,roll,-4,CAM_BACK_LEFT,0.5308,0.4699,0.9570
CR,roll,-4,all,0.3916,0.2482,0.7060
CR,roll,4,CAM_FRONT_RIGHT,0.5470,0.5020,0.9861
CR,roll,4,CAM_BACK,0.4839,0.3962,0.8725
CR,roll,4,CAM_BACK_RIGHT,0.5459,0.4949,0.9842
CR,roll,8,CAM_FRONT,0.4783,0.3818,0.8623
CR,roll,8,CAM_FRONT_LEFT,0.5195,0.4566,0.9367
CR,roll,8,CAM_BACK_LEFT,0.5255,0.4644,0.9474
CR,roll,8,all,0.2979,0.1275,0.5372
CR,roll,12,CAM_FRONT_RIGHT,0.5412,0.4905,0.9757
CR,roll,12,CAM_BACK,0.4528,0.3320,0.8163
CR,roll,12,CAM_BACK_RIGHT,0.5381,0.4812,0.9701
CR,roll,16,CAM_FRONT,0.4804,0.3839,0.8662
CR,roll,16,CAM_FRONT_LEFT,0.5154,0.4503,0.9292
CR,roll,16,CAM_BACK_LEFT,0.5165,0.4491,0.9313
CR,roll,16,all,0.2417,0.0657,0.4357
CR,roll,20,CAM_FRONT_RIGHT,0.5385,0.4855,0.9709
CR,roll,20,CAM_BACK,0.4540,0.3378,0.8185
CR,roll,20,CAM_BACK_RIGHT,0.5385,0.4802,0.9709
ER,yaw,-20,CAM_FRONT_RIGHT,0.5248,0.4616,0.9461
ER,yaw,-20,CAM_BACK,0.4133,0.2653,0.7451
ER,yaw,-20,CAM_BACK_RIGHT,0.5262,0.4633,0.9487
ER,yaw,-16,CAM_FRONT,0.4416,0.2995,0.7961
ER,yaw,-16,CAM_FRONT_LEFT,0.5044,0.4183,0.9094
ER,yaw,-16,CAM_BACK_LEFT,0.4979,0.4227,0.8977
