condition,axis,mag,protocol,nds,map6,rrs
CR,yaw,-20,all,0.5389,0.4875,0.9785
CR,yaw,-16,CAM_FRONT_RIGHT,0.5511,0.5048,1.0006
CR,yaw,-16,CAM_BACK,0.5351,0.4857,0.9715
CR,yaw,-16,CAM_BACK_RIGHT,0.5553,0.5052,1.0082
CR,yaw,-12,CAM_FRONT,0.5544,0.5127,1.0067
CR,yaw,-12,CAM_FRONT_LEFT,0.5489,0.5031,0.9966
CR,yaw,-12,CAM_BACK_LEFT,0.5528,0.5048,1.0038
CR,yaw,-12,all,0.5474,0.4955,0.9939
CR,yaw,-8,CAM_FRONT_RIGHT,0.5525,0.5067,1.0032
CR,yaw,-8,CAM_BACK,0.5410,0.4959,0.9823
CR,yaw,-8,CAM_BACK_RIGHT,0.5537,0.5062,1.0053
CR,yaw,-4,CAM_FRONT,0.5547,0.5102,1.0071
CR,yaw,-4,CAM_FRONT_LEFT,0.5523,0.5063,1.0028
CR,yaw,-4,CAM_BACK_LEFT,0.5520,0.5065,1.0022
CR,yaw,-4,all,0.5462,0.4971,0.9917
CR,yaw,4,CAM_FRONT_RIGHT,0.5505,0.5071,0.9996
CR,yaw,4,CAM_BACK,0.5516,0.5036,1.0016
CR,yaw,4,CAM_BACK_RIGHT,0.5537,0.5061,1.0054
CR,yaw,8,CAM_FRONT,0.5528,0.5089,1.0038
CR,yaw,8,CAM_FRONT_LEFT,0.5487,0.5058,0.9962
CR,yaw,8,CAM_BACK_LEFT,0.5447,0.4897,0.9891
CR,yaw,8,all,0.5415,0.4855,0.9832
CR,yaw,12,CAM_FRONT_RIGHT,0.5510,0.5050,1.0005
CR,yaw,12,CAM_BACK,0.5403,0.4879,0.9810
CR,yaw,12,CAM_BACK_RIGHT,0.5575,0.5081,1.0122
CR,yaw,16,CAM_FRONT,0.5466,0.5002,0.9925
CR,yaw,16,CAM_FRONT_LEFT,0.5469,0.5057,0.9930
CR,yaw,16,CAM_BACK_LEFT,0.5358,0.4784,0.9729
CR,yaw,16,all,0.5312,0.4809,0.9645
CR,yaw,20,CAM_FRONT_RIGHT,0.5499,0.5043,0.9984
CR,yaw,20,CAM_BACK,0.5308,0.4759,0.9638
CR,yaw,20,CAM_BACK_RIGHT,0.5581,0.5092,1.0132
CR,pitch,-20,CAM_FRONT,0.4820,0.3819,0.8751
CR,pitch,-20,CAM_FRONT_LEFT,0.5190,0.4502,0.9423
CR,pitch,-20,CAM_BACK_LEFT,0.4981,0.4029,0.9044
CR,pitch,-20,all,0.0499,0.0056,0.0907
CR,pitch,-16,CAM_FRONT_RIGHT,0.5319,0.4712,0.9658
CR,pitch,-16,CAM_BACK,0.4579,0.3489,0.8314
CR,pitch,-16,CAM_BACK_RIGHT,0.5332,0.4657,0.9681
CR,pitch,-12,CAM_FRONT,0.4781,0.3756,0.8682
CR,pitch,-12,CAM_FRONT_LEFT,0.5138,0.4408,0.9329
CR,pitch,-12,CAM_BACK_LEFT,0.4948,0.4032,0.8983
CR,pitch,-12,all,0.0554,0.0161,0.1006
CR,pitch,-8,CAM_FRONT_RIGHT,0.5277,0.4629,0.9581
CR,pitch,-8,CAM_BACK,0.4456,0.3268,0.8092
CR,pitch,-8,CAM_BACK_RIGHT,0.5375,0.4736,0.9759
CR,pitch,-4,CAM_FRONT,0.4648,0.3501,0.8440
CR,pitch,-4,CAM_FRONT_LEFT,0.5088,0.4290,0.9238
CR,pitch,-4,CAM_BACK_LEFT,0.5004,0.4129,0.9085
CR,pitch,-4,all,0.2344,0.0460,0.4255
CR,pitch,4,CAM_FRONT_RIGHT,0.5408,0.4859,0.9818
CR,pitch,4,CAM_BACK,0.4594,0.3695,0.8341
CR,pitch,4,CAM_BACK_RIGHT,0.5373,0.4824,0.9755
CR,pitch,8,CAM_FRONT,0.4779,0.3750,0.8677
CR,pitch,8,CAM_FRONT_LEFT,0.5171,0.4494,0.9389
CR,pitch,8,CAM_BACK_LEFT,0.4995,0.4204,0.9069
CR,pitch,8,all,0.1360,0.0210,0.2469
CR,pitch,12,CAM_FRONT_RIGHT,0.5356,0.4775,0.9725
CR,pitch,12,CAM_BACK,0.4563,0.3557,0.8286
CR,pitch,12,CAM_BACK_RIGHT,0.5327,0.4711,0.9673
