condition,axis,signed_mag,protocol,nds,map6,mATE,mASE,mAOE,mAVE,mAAE,nds_10class,map_10class,rrs
ER,pitch,16,CAM_BACK_RIGHT,0.4591,0.3969,0.6853,0.1466,0.4110,2.4471,0.1501,0.2922,0.2381,0.9370
ER,pitch,20,all,0.1754,0.0222,1.1276,0.3662,0.6830,3.0075,0.3075,0.1178,0.0133,0.3580
ER,pitch,20,CAM_FRONT,0.4439,0.3578,0.6040,0.1512,0.4239,2.3360,0.1704,0.2827,0.2147,0.9061
ER,pitch,20,CAM_FRONT_RIGHT,0.4753,0.4162,0.6207,0.1462,0.4002,2.5376,0.1612,0.3017,0.2497,0.9700
ER,pitch,20,CAM_FRONT_LEFT,0.4684,0.4030,0.6158,0.1473,0.4133,2.5156,0.1546,0.2976,0.2418,0.9560
ER,pitch,20,CAM_BACK,0.4156,0.3033,0.6298,0.1557,0.3928,2.2619,0.1821,0.2657,0.1820,0.8482
ER,pitch,20,CAM_BACK_LEFT,0.4520,0.3770,0.6452,0.1477,0.3961,2.5430,0.1763,0.2876,0.2262,0.9225
ER,pitch,20,CAM_BACK_RIGHT,0.4603,0.3955,0.6773,0.1466,0.4099,2.4226,0.1405,0.2930,0.2373,0.9395
ER,roll,-20,all,0.3654,0.2577,0.8768,0.1695,0.4335,2.4780,0.1550,0.2357,0.1546,0.7457
ER,roll,-20,CAM_FRONT,0.4655,0.4048,0.6586,0.1488,0.4086,2.4287,0.1533,0.2959,0.2429,0.9500
ER,roll,-20,CAM_FRONT_RIGHT,0.4886,0.4367,0.5960,0.1443,0.3989,2.4242,0.1589,0.3098,0.2620,0.9971
ER,roll,-20,CAM_FRONT_LEFT,0.4811,0.4256,0.6199,0.1460,0.4046,2.4759,0.1464,0.3054,0.2553,0.9819
ER,roll,-20,CAM_BACK,0.4504,0.3734,0.6466,0.1591,0.3889,2.3473,0.1686,0.2868,0.2240,0.9191
ER,roll,-20,CAM_BACK_LEFT,0.4773,0.4196,0.6229,0.1428,0.4073,2.5768,0.1521,0.3030,0.2518,0.9741
ER,roll,-20,CAM_BACK_RIGHT,0.4839,0.4280,0.6043,0.1439,0.4012,2.4291,0.1519,0.3070,0.2568,0.9875
ER,roll,-16,all,0.3990,0.2990,0.7881,0.1618,0.4020,2.4314,0.1529,0.2561,0.1794,0.8144
ER,roll,-16,CAM_FRONT,0.4691,0.4097,0.6502,0.1484,0.4112,2.4365,0.1484,0.2981,0.2458,0.9573
ER,roll,-16,CAM_FRONT_RIGHT,0.4901,0.4391,0.5946,0.1445,0.3983,2.4185,0.1571,0.3107,0.2635,1.0003
ER,roll,-16,CAM_FRONT_LEFT,0.4832,0.4277,0.6187,0.1458,0.3957,2.4385,0.1460,0.3068,0.2566,0.9863
ER,roll,-16,CAM_BACK,0.4607,0.3900,0.6438,0.1557,0.3836,2.3145,0.1595,0.2931,0.2340,0.9403
ER,roll,-16,CAM_BACK_LEFT,0.4806,0.4238,0.6137,0.1425,0.4051,2.5476,0.1522,0.3050,0.2543,0.9808
